term,definition
Greatest technical autonomy professional relationship,Client-professional relationship gives an engineer or geoscientist the greatest technical autonomy.
Administration of provincial Act creating engineering/geoscience association,The Association's Council (self-governing body) administers that Act.
Core expectations of self-governing profession in Canada,(1) Legal and ethical responsibility for one's work (2) Public interest held paramount.
Bribe for false testimony—what professional duty does this violate?,"It violates the Duty to the Profession: engineers/geoscientists must maintain dignity and avoid dishonourable conduct.

Simple Example:A contractor slips an engineer cash to lie in court about a bridge's safety. Accepting this bribe is dishonourable and breaks the engineer's duty to uphold the profession's integrity."
Legal action for licensing engineers,Passage of provincial/territorial legislation that authorises the association.
Best practice for land survey conflict,Decline the second contract without revealing the first client's interest.
Ethical-decision framework mirrors,The design process.
Employer statement when reassigning unsafe work,"Why, in the employer's opinion, the work no longer (or never did) pose a danger."
Consultant-client contract role,As part of the client's team and acting in the client's best interests (after the public's).
Billing fraudulently instruction,Refuse the instruction and tell the employer it is illegal.
Core expectations of self-governing professions,(1) Legal & ethical responsibility for work (2) Public interest held paramount.
Using technical know-how under NDA,"Yes—skills and knowledge become part of your experience, though facts under NDA stay confidential."
OHS refusal-of-work notice requirements,The employer's rationale that the task is now safe.
Provincial/territorial association support,Its own Code of Ethics.
Golden Mean solution in virtue ethics,"A compromise size (e.g., 300 000 sq ft) balancing patient need and park land."
Golden Rule and ethical theories,"All four: Kant (duty), Mill (utilitarian), Locke (rights), Aristotle (virtue)."
Code-of-Ethics line on conflicts of interest,"Act as faithful agents, maintain confidentiality, avoid or fully disclose conflicts without delay."
Potential conflict-of-interest example,"A ""dry"" town accepts soft-drink billboard money from a brewer that may advertise beer later."
Employer requirements under confidentiality law,A written statement of why the employer believes the work is now safe (or never was unsafe).
Paternalism in international consulting,Definition not provided.
Paramount obligation,"The paramount obligation set by every Canadian engineering/geoscience Code of Ethics is to protect the public welfare, including the environment."
Categories of justice,"The four fundamental categories of justice used in ethics are Procedural, Corrective (or Retributive), Distributive, Political."
Traditional branches of philosophy,"Anthropology is not a traditional branch of philosophy; traditional branches include logic, metaphysics, epistemology, axiology."
Extortion,A payment demanded by an official for routine approval is classed as extortion (coercive demand for something normally free).
First ethical step for management request,The first ethical step if management asks you to downgrade a design below code to save money is to explain the consequences in writing and ensure management understands the risk; do not seal an unsafe design.
Fraudulent registration,Falsifying experience on a P.Eng. application is called this under the Act.
Non-disclosure (confidentiality) clause,Best protects an employer's trade secrets if an employee later leaves.
"Canadian product-liability ""duty-of-care"" precedent case",Donoghue v. Stevenson - manufacturer owes reasonable care to end-user.
First screening question in engineering ethical dilemma,"""Does this situation endanger public health or safety?"" - if yes, act immediately (up to whistle-blowing)."
Record reliability,"Form/media - electronic and hard-copy are equally acceptable if integrity, completeness & authenticity are proven."
Peer review of another engineer's work,No permission required; courtesy notification is enough; employer/client can mandate the review.
"Engineer used a widely-criticised, unrevised tech-society code and structure failed - likely court view?","Engineer liable - ought to have known the code was inadequate given recent, public failures."
"Experience-report competency category for writing specs, reports, procedures",Communication skills competency.
No applicable codes for a cutting-edge design—engineer's path forward,Proceed using sound engineering principles and the Code of Ethics; document rationale and prioritize public safety.
"ISO standards: after final approval, what can member countries do?",Choose to adopt and publish the ISO as their own national standard (adoption is voluntary).
"Protecting oneself when proposing an unusual, higher-risk design approach",Fully disclose the risks to the client and obtain informed acceptance; risk then shifts to the informed client.
What is material non-disclosure in professional liability insurance?,"Failing to reveal relevant information (e.g., a prior negligence claim) when purchasing Errors & Omissions (E&O) coverage. Such nondisclosure is ""material"" because it influences the insurer's decision—omitting it can void the policy.
Ask ChatGPT"
Retention period for authenticated drawings,"Keep them for as long as liability exists (e.g., 10 yrs BC, 12 yrs AB) as a due-diligence defence."
Improving communication skills after email mishap,Clarity and completeness in digital instructions.
Lacking expertise on Indigenous-rights impacts in an EA,Continue only by engaging a specialist with that expertise (Engineers Canada SD Guideline §4).
Environmental costs in economic viability studies,Environmental protection is an integral part of project planning; associated costs must be included (APEGA Env. Guideline §3.5).
Engineers Canada Code of Ethics — mentoring clause,Professional engineers shall ... provide opportunities for the ________ of the people they supervise.
Code-of-Ethics: three permissible responses to employer actions risking public welfare,(1) Correct the problem (2) Whistle-blow (3) Resign in protest.
What is the collegial (Theory Y) management style?,"Staff are trusted to work independently within agreed guidelines; the manager treats them as peers rather than micromanaging them.
Collegial (adj): cooperative, treating colleagues as equals."
2015 UN climate accord that caps global warming - what is it called?,"Paris Agreement• Adopted under the UNFCCC in December 2015 to limit warming to well below 2 °C above pre-industrial levels, aiming for 1.5 °C.
Accord (noun): a formal agreement between parties."
Single best defence against a negligence lawsuit,"Produce careful, thorough, accurate work (quality first). Insurance only mitigates losses after the fact."
"Posting false, damaging statements online about a competitor",Constitutes libel → an actionable tort claim; internet posts are fully enforceable.
E&O vs. CGL in one line,E&O = professional mistakes.
Network-security question,Which tool lets me filter incoming & outgoing internet traffic to block unauthorised connections for my team? Firewall software.
Whistle-blowing grounds - trade-secret scenario,A geoscientist discovers that management is merely keeping company trade secrets confidential. Does that justify whistle-blowing? No.
Officer starts a rival side-business,Whose interests must come first under fiduciary duty? The company's interests rank ahead of the officer's personal interests.
Hiring a close relative with municipal grant money,Identify the conflicting interests and decide which one (the public's) must take precedence before acting.
Duty to consult and accommodate Indigenous peoples,Who carries the Supreme-Court-mandated duty? The government (Crown) — even when the claim has not yet been proven.
Tendering law (Ron Engineering): what is Contract A?,A bidding contract formed with every compliant bidder once their tender is submitted.
Legal doctrine that says land-sale agreements must be in writing,Statute of Frauds.
Engineers Canada Code of Ethics,What must you provide for subordinates? Opportunities for their professional development.
Insurance nickname that protects professionals,Errors & Omissions (E&O) insurance.
2004 amendment that made workplace-safety violations potentially a criminal offence,The Criminal Code was amended to impose criminal liability on those who direct work but fail to protect workers/public.
Which of these is not a universal level of environmental regulation?,"The Canada National Parks Act (it's federal only; EAs, offences & emissions rules exist at all levels)."
Post-2020 trade pact replacing NAFTA & its effect on engineering credentials,CUSMA (formerly NAFTA); regulators may recognize foreign qualifications but are not obliged to.
Turning a filed lien claim into an enforceable charge,Process is called 'perfecting the lien.'
Negligent-misrepresentation suits - strongest defence when claimant would have acted the same anyway,"Lack of causation (no reliance): if the plaintiff was already committed to the course of action, the misstatement did not cause the loss."
Rule from Rylands v Fletcher - strict liability,Injured party need not prove negligence once the non-natural use of land causes escape and damage.
Reasonable person test for negligence,Asks 'What would a reasonable person have done in the same circumstances?'
